Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,latitude,longitude,Item_encoded
0,Albania,Maize,1990,36613,1485.0,121.0,16.37,41.000028,19.9999619,1
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37,41.000028,19.9999619,3
2,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,41.000028,19.9999619,4
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37,41.000028,19.9999619,5
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37,41.000028,19.9999619,6
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37,41.000028,19.9999619,8
6,Albania,Maize,1991,29068,1485.0,121.0,15.36,41.000028,19.9999619,1
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36,41.000028,19.9999619,3
8,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,41.000028,19.9999619,4
9,Albania,Sorghum,1991,6667,1485.0,121.0,15.36,41.000028,19.9999619,5
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36,41.000028,19.9999619,6
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36,41.000028,19.9999619,8
12,Albania,Maize,1992,24876,1485.0,121.0,16.06,41.000028,19.9999619,1
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06,41.000028,19.9999619,3
14,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,41.000028,19.9999619,4
15,Albania,Sorghum,1992,3747,1485.0,121.0,16.06,41.000028,19.9999619,5
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06,41.000028,19.9999619,6
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06,41.000028,19.9999619,8
18,Albania,Maize,1993,24185,1485.0,121.0,16.05,41.000028,19.9999619,1
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05,41.000028,19.9999619,3
20,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,41.000028,19.9999619,4
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05,41.000028,19.9999619,6
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05,41.000028,19.9999619,8
